Tweet,Message,Match,Polarity
1,Konosubastuff whats canada,canada,Neutral
2,RT CBCCanada Canadas Kim Boutin sets short track world record in womens m httpstcowVqjRQtUXr httpstcodHmNEWQgHL,httpstcodHmNEWQgHL,Neutral
3,"RT mannyottawa Canada vs Quebec 

Immigration values test   vs 
Bill  no religious wear   vs 
Dumping sewage in rivers   vs",rivers,Neutral
4,So today consisted of coffee and a catch up with the lovely sparklyang followed by hours of researching and booki httpstcoulBLyyYKW,lovely,Positive
5,turneresq MLS realsaltlake I had some interesting conversations about team partnerships and how MLS partnerships httpstcodJlvbXmXM,interesting,Positive
6,"How have they been so easily dismantled in countries like Canada and the UK
Countries with reputations as leaders httpstcoJfcbTNvE",like,Positive
7,mega Ok I bought both of these but please Im begging you to make them available in longsleeve Theyd both be b httpstcoEmiYFJBZ,begging,Negative
8,"RT FairVoteCanada This  This is why electoralreform matters
JustinTrudeau theJagmeetSingh ElizabethMay
 
New Zealand got rid of ",of,Neutral
9,"RT cravecreative Yes He is definitely following orders amp yes he is breaking this country apart
No doubt in my mind No one does this to",breaking,Negative
10,"RT DetmerMike This is what happens when the government decides if you live or die

httpstcoCuvgfLNh",die,Negative
11,"RT mannyottawa Canada vs Quebec 

Immigration values test   vs 
Bill  no religious wear   vs 
Dumping sewage in rivers   vs",rivers,Neutral
12,"RT mannyottawa WARNING  
If you are triggered about ClimateCrisis and as afraid as GretaThunberg dont read this tweet

China
",afraid,Negative
13,Goodnight All We could of had this Canada could have been saved But stupidity in Ontario Quebec and Atlantic Ca httpstcohIftnNAjo,stupidity,Negative
14,RT ballsdotie The Irish Womens Hockey Team have qualified for the  Olympics in Tokyo after a dramatic penalty shootout win over Can,qualified,Positive
15,"RT Lawsome This law is disturbingly broad and is rightly being challenged

Watch what you tweet new election law chills speech say",disturbingly,Negative
16,askmeek MeekMill Will you be coming to Canada soon,soon,Neutral
17,RT JanisIrwin When I arrived here I felt that this country and the Edmonton community saved my life and they brought me here so I have,have,Neutral
18,RT amandarachlee this video genuinely disgusts me canada is unabashedly multicultural speak whatever language you want here  httpst,unabashedly,Positive
19,RT TorontoStar Asylum seekers who were turned away by Canada at the CanadaUS border will finally have their day in court to explain wh,wh,Neutral
20,RT Mariola Canadas seniors are becoming the new face of homelessness  Trudeau is turning Canada into third world country but w,w,Neutral
21,OMG  OMG this is horrible  Fires in the States Canada AustraliaThe planet mother nature is about to r httpstcokJzaJRdv,horrible,Negative
22,"RT barstoolsports Shut down Canada and start it all over

httpstcoJuvzzISQy",httpstcoJuvzzISQy,Neutral
23,RT ssolyom Canadian voters already held the CPCHQ to account for their relentless reckless lying But it would be nice if you could st,relentless,Negative
24,"RT CoryBMorgan billion Pacific NorthWest LNG project by Petronas Bhd CANCELLED 

 Nexens billion Aurora LNG project CANCELLED",Aurora,Neutral
25,"RT WBrettWilson Maybe explain the absence of policy adding a carbon tax to COAL we ship in ever increasing quantities to China

Hint  w",absence,Negative
26,RT BenWFG Super excited for this Theres no one better than CurlRockStars to represent Quebec and Canada at the Grand Slam Novembre ,excited,Positive
27,"RT mannyottawa Canada vs Quebec 

Immigration values test   vs 
Bill  no religious wear   vs 
Dumping sewage in rivers   vs",rivers,Neutral
28,Pattihatestrump We use paper ballots in Canada Works great Try it,great,Positive
29,RT mannyottawa So basically Michael Wernick Canadas  unbiased TOP Bureaucrat helped TrudeauCorruption obstruct Justice then used Jus,unbiased,Positive
30,SteveDonohoe GinaMarieGMA winburnkim LGrand FaIILucifer itsJeffTiedrich realDonaldTrump Canada is a to httpstcoNQyjTkSF,httpstcoNQyjTkSF,Neutral
31,About time IMO Watch what you tweet new election law httpstcoVtvrstdPw,httpstcoVtvrstdPw,Neutral
32,RebelNewsOnline ezralevant SheilaGunnReid stirlingmg Always thought of Alberta as one of the bedrock provinces httpstcoBPPJLkSk,httpstcoBPPJLkSk,Neutral
